Frame,Timestamp,Student ID,Emotion,Focus,Focus % (overall),Total Students
1350,15:24:02,1,fear,Focused,100.0,1
1360,15:24:02,1,fear,Focused,100.0,1
1370,15:24:03,1,happy,Distracted,0.0,1
1380,15:24:03,1,happy,Distracted,0.0,1
1390,15:24:03,1,fear,Focused,100.0,1
1400,15:24:03,1,fear,Focused,100.0,1
1410,15:24:03,1,fear,Focused,100.0,1
1420,15:24:03,1,fear,Focused,100.0,1
1430,15:24:03,1,neutral,Distracted,0.0,1
1440,15:24:03,1,fear,Focused,100.0,1
1450,15:24:03,1,fear,Focused,100.0,1
1460,15:24:03,1,fear,Focused,100.0,1
1470,15:24:04,1,fear,Focused,100.0,1
1480,15:24:04,1,fear,Focused,100.0,1
1490,15:24:04,1,fear,Focused,100.0,1
1500,15:24:04,1,fear,Focused,100.0,1
1510,15:24:04,1,fear,Focused,100.0,1
1520,15:24:04,1,fear,Focused,100.0,1
1530,15:24:04,1,sad,Distracted,0.0,1
1540,15:24:04,1,fear,Focused,100.0,1
1550,15:24:04,1,fear,Focused,100.0,1
1560,15:24:04,1,fear,Focused,100.0,1
1570,15:24:05,1,fear,Focused,100.0,1
1580,15:24:05,1,fear,Focused,100.0,1
1590,15:24:05,1,happy,Distracted,0.0,2
1590,15:24:05,2,fear,Distracted,0.0,2
1600,15:24:05,1,fear,Focused,100.0,1
1610,15:24:05,1,happy,Distracted,0.0,1
1620,15:24:05,1,happy,Distracted,0.0,1
1630,15:24:05,1,happy,Distracted,0.0,1
1640,15:24:05,1,fear,Focused,100.0,1
1650,15:24:05,1,fear,Focused,100.0,1
1660,15:24:05,1,fear,Focused,100.0,1
1670,15:24:06,1,fear,Focused,100.0,1
1680,15:24:06,1,fear,Focused,100.0,1
1690,15:24:06,1,fear,Focused,100.0,1
1700,15:24:06,1,fear,Focused,100.0,1
1710,15:24:06,1,fear,Focused,100.0,1
1720,15:24:06,1,fear,Focused,100.0,1
1730,15:24:06,1,fear,Focused,100.0,1
1740,15:24:06,1,fear,Focused,100.0,1
1750,15:24:06,1,fear,Focused,100.0,1
1760,15:24:06,1,fear,Distracted,0.0,2
1760,15:24:06,2,happy,Distracted,0.0,2
1770,15:24:06,1,happy,Distracted,0.0,1
1780,15:24:06,1,fear,Focused,100.0,1
1790,15:24:07,1,happy,Distracted,0.0,1
1800,15:24:07,1,fear,Focused,100.0,1
1810,15:24:07,1,happy,Distracted,0.0,2
1810,15:24:07,2,neutral,Distracted,0.0,2
1820,15:24:07,1,fear,Focused,100.0,1
1830,15:24:07,1,happy,Distracted,0.0,2
1830,15:24:07,2,fear,Distracted,0.0,2
1840,15:24:07,1,happy,Distracted,0.0,1
1850,15:24:07,1,happy,Distracted,0.0,1
1860,15:24:07,1,happy,Distracted,0.0,1
1870,15:24:07,1,neutral,Distracted,0.0,2
1870,15:24:07,2,happy,Distracted,0.0,2
1880,15:24:07,1,happy,Distracted,0.0,1
1890,15:24:08,1,happy,Distracted,0.0,2
1890,15:24:08,2,fear,Distracted,0.0,2
1900,15:24:08,1,happy,Distracted,0.0,1
1910,15:24:08,1,sad,Focused,100.0,1
1920,15:24:08,1,angry,Focused,100.0,1
1930,15:24:08,1,fear,Focused,100.0,1
1940,15:24:08,1,fear,Focused,100.0,1
1950,15:24:08,1,fear,Focused,100.0,1
1960,15:24:08,1,fear,Distracted,0.0,1
1970,15:24:09,1,fear,Distracted,0.0,1
1980,15:24:09,1,fear,Focused,100.0,1
1990,15:24:09,1,fear,Focused,100.0,1
2000,15:24:09,1,fear,Focused,100.0,1
2010,15:24:09,1,fear,Focused,100.0,1
2020,15:24:09,1,fear,Distracted,0.0,1
2030,15:24:09,1,fear,Distracted,0.0,1
2040,15:24:09,1,fear,Focused,100.0,1
2050,15:24:09,1,fear,Focused,100.0,1
2060,15:24:10,1,fear,Focused,100.0,1
2070,15:24:10,1,fear,Focused,100.0,1
2080,15:24:10,1,fear,Focused,100.0,1
2090,15:24:10,1,fear,Focused,100.0,1
2100,15:24:10,1,fear,Focused,100.0,1
2110,15:24:10,1,neutral,Distracted,0.0,1
2120,15:24:10,1,sad,Distracted,0.0,2
2120,15:24:10,2,neutral,Distracted,0.0,2
2130,15:24:11,1,fear,Focused,100.0,1
2140,15:24:11,1,fear,Distracted,0.0,1
2150,15:24:11,1,fear,Focused,100.0,1
2160,15:24:11,1,neutral,Distracted,0.0,2
2160,15:24:11,2,happy,Distracted,0.0,2
2170,15:24:11,1,happy,Distracted,0.0,1
2180,15:24:11,1,neutral,Distracted,0.0,3
2180,15:24:11,2,happy,Distracted,0.0,3
2180,15:24:11,3,neutral,Distracted,0.0,3
2190,15:24:11,1,happy,Distracted,0.0,2
2190,15:24:11,2,neutral,Distracted,0.0,2
2200,15:24:12,1,happy,Distracted,0.0,1
2210,15:24:12,1,neutral,Distracted,0.0,2
2210,15:24:12,2,fear,Distracted,0.0,2
2220,15:24:12,1,neutral,Distracted,0.0,1
2230,15:24:12,1,sad,Distracted,0.0,1
2240,15:24:12,1,fear,Distracted,0.0,1
2250,15:24:12,1,sad,Distracted,0.0,1
2260,15:24:12,1,fear,Distracted,0.0,1
2270,15:24:12,1,fear,Focused,100.0,1
2280,15:24:12,1,fear,Focused,100.0,1
2290,15:24:13,1,fear,Distracted,0.0,1
2300,15:24:13,1,neutral,Distracted,0.0,3
2300,15:24:13,2,fear,Distracted,0.0,3
2300,15:24:13,3,fear,Distracted,0.0,3
2310,15:24:13,1,fear,Distracted,0.0,3
2310,15:24:13,2,neutral,Distracted,0.0,3
2310,15:24:13,3,fear,Distracted,0.0,3
2320,15:24:13,1,neutral,Distracted,0.0,2
2320,15:24:13,2,happy,Distracted,0.0,2
2330,15:24:14,1,fear,Distracted,0.0,3
2330,15:24:14,2,happy,Distracted,0.0,3
2330,15:24:14,3,neutral,Distracted,0.0,3
2340,15:24:14,1,happy,Distracted,0.0,1
2350,15:24:14,1,neutral,Distracted,0.0,2
2350,15:24:14,2,happy,Distracted,0.0,2
2360,15:24:14,1,neutral,Distracted,0.0,2
2360,15:24:14,2,happy,Distracted,0.0,2
2370,15:24:14,1,neutral,Distracted,0.0,2
2370,15:24:14,2,happy,Distracted,0.0,2
2380,15:24:14,1,happy,Distracted,0.0,1
2390,15:24:14,1,happy,Distracted,0.0,1
2400,15:24:14,1,fear,Distracted,0.0,1
2410,15:24:14,1,fear,Distracted,0.0,2
2410,15:24:14,2,sad,Distracted,0.0,2
2420,15:24:14,1,sad,Distracted,0.0,2
2420,15:24:14,2,disgust,Distracted,0.0,2
2430,15:24:14,1,surprise,Distracted,0.0,1
2440,15:24:14,1,fear,Focused,100.0,1
2450,15:24:15,1,fear,Focused,100.0,1
2460,15:24:15,1,fear,Focused,100.0,1
2470,15:24:15,1,fear,Focused,100.0,1
2480,15:24:15,1,fear,Focused,100.0,1
2490,15:24:15,1,fear,Focused,100.0,1
2500,15:24:15,1,fear,Focused,100.0,1
2510,15:24:15,1,fear,Distracted,0.0,1
2520,15:24:15,1,fear,Focused,100.0,1
2530,15:24:15,1,fear,Focused,100.0,1
2540,15:24:15,1,fear,Focused,100.0,1
